Risk_State,Mean_b0,Std_b0,Mean_b2,Std_b2,Corr_b0_b2
Low,0.255614276562189,0.159244624279621,0.748641861302674,0.251429764592169,-0.616531288180301
High,0.256233978477727,0.135403132208372,0.764856159922785,0.181273557562757,-0.172716761357478
Pooled,0.255877649876293,0.149541703972263,0.755532938216222,0.224402903815675,-0.476398319416329
