Mechanism,Mean_Payment,Payment_CV,Mean_Entry_Rate,Mean_Abs_Overrun,Overrun_Risk,Mean_Winner_Score
UP,NaN,NaN,0.639,NaN,NaN,NaN
FP,NaN,NaN,0.379,0,0,NaN
