Mechanism,Mean_Payment,Payment_CV,Mean_Entry_Rate,Mean_Abs_Overrun,Overrun_Risk,Mean_Winner_Score
UP,0.0767874579304871,0.0817171352370508,0.795,0.00363917371876288,0.00474881354025689,0.0773469509186108
FP,0.0822484053577541,0.120169055697198,0.5545,0,0,0.0822484053577541
