Mechanism,N_Auctions,Mean_Entry,Mean_Winning_Bid,Mean_Final_Payment,Std_Final_Payment,Mean_Abs_Overrun
UP_Low,113,1.76991150442478,NaN,NaN,NaN,NaN
UP_High,87,1.6551724137931,NaN,NaN,NaN,NaN
FP_Low,113,1.00884955752212,NaN,NaN,NaN,0
FP_High,87,1.16091954022989,NaN,NaN,NaN,0
