Mechanism,Mean_Payment,Payment_CV,Mean_Entry_Rate,Mean_Abs_Overrun,Overrun_Risk,Mean_Winner_Score
UP,0.746216405688411,0.0611224063645656,0.89225,0.00308700265162551,0.00400855659199895,0.754206335131166
FP,0.762437152182178,0.0271640028259873,0.74425,0,0,0.762437152182178
