Auction_ID,Risk_State,Winning_Bid_Change_Pct,Final_Payment_Change_Pct,Entry_Change,Overrun_Change
1,L,-0.0301486231959127,1.18329408409287,0,0.00135357105512965
2,L,1.06283247621227,-1.74890389948362,-1,-0.00321953862289186
3,L,0.936944129653465,-2.95363236527928,-2,-0.00451461258327943
4,H,0.793781712518324,-2.83047318153044,-3,-0.00420777476955486
5,L,1.28784966385556,1.27187730316184,0,-1.76517495301121e-05
6,H,2.70517264122452,6.82333042481475,-2,0.0043475916581462
7,L,-2.8793454766022,-3.1368267319527,-2,-0.000300512519415014
8,H,1.02153403210539,8.86552666062431,-4,0.0081706606695981
9,H,1.7761550547257,5.82239274486311,-3,0.00431286535361229
10,L,0.636638696491529,9.47447518958396,1,0.00914700426088547
11,L,-0.368570458711634,0.0456512043374481,0,0.000465557217847717
12,L,-0.18781323026919,1.57017198232607,-1,0.00195958649174097
13,H,0.63901901017546,6.55060776698261,-2,0.00627962645514764
14,L,-0.290537569418004,5.53987729544689,-2,0.00622422737057095
15,H,-0.0456758553323014,4.97645997116966,0,0.0053924181152139
16,L,0.258240620516266,5.29862982834343,-2,0.00541887796373329
17,H,-0.630304132934304,1.10418843940229,-1,0.00193727520508516
18,L,1.99252637631864,2.66550557759927,-2,0.000730231982618124
19,L,-2.10535923253165,-1.68847628656245,-1,0.000483808664714175
20,L,0.0044566168144836,3.12638223826631,-1,0.00341266001770724
21,H,-11.5050318454085,-17.6735707716839,-3,-0.0097865310973877
22,L,0.707797810755609,2.98459995604493,-2,0.00247534868067317
23,L,-13.5668954998445,-23.5811996424794,-2,-0.0170680737910865
24,L,-0.480515701994055,1.93174327199256,0,0.0026632361656667
25,L,0.525098896432907,4.86108145998526,-1,0.00467805857253954
26,H,1.23994330524797,-12.5833693088848,-1,-0.0178912001954453
27,L,0.710816863104489,3.7338273791955,-1,0.00326575817675984
28,L,1.63780590050106,8.31333891328889,-5,0.00695557831372647
29,L,0.851854799907359,11.391227153811,-1,0.0106968027527042
30,L,19.721921410349,22.0166913544413,-2,0.00212143145799126
31,L,0.280545784170241,2.3422164398258,-4,0.00227179150448659
32,L,0.930431298812736,-4.65771667029094,1,-0.0066448749474549
33,H,0.318970628417162,22.3354905688249,0,0.0203477563069199
34,H,-3.08385508860134,-9.85439103301902,-2,-0.00892544134405808
35,L,0.651162552724259,1.64593061425466,-2,0.00110052516665668
36,L,1.20424172121871,-2.26487284509705,-1,-0.00400511810687788
37,L,3.42781866879618,2.89012950671224,-5,-0.000582831909342399
38,H,1.84626585874531,0.720102931535614,-1,-0.00126119029269432
39,L,-0.0275385923513507,2.04007472533213,1,0.00227681871118672
40,H,1.47274819910781,-5.04798492370856,0,-0.00773237294514734
41,H,1.36011331596314,-1.35827938398855,1,-0.00310728702944235
42,L,0.191857869921301,-6.19007042125988,-3,-0.00771428522050102
43,L,0.70717831653225,0.450942957322105,-1,-0.000288084554962431
44,L,0.599186568486715,1.62301479911137,-1,0.0011335084288909
45,L,9.31167988240694,16.9229099487373,-1,0.00731930005909226
46,L,2.2805894988142,5.64371906856756,0,0.00357501527096492
47,L,1.27424017641608,3.63763723392284,-2,0.00255718399453665
48,L,0.740391849536435,2.60351251999007,0,0.00202795719097462
49,H,0.311271693705747,-5.08276669152818,-1,-0.00651883560392258
50,H,2.66659467183501,6.17103813988355,-1,0.00372523453857057
51,H,0.226705150553891,6.15255057827532,-2,0.00628375200405358
52,L,-0.533843706841871,15.6095917183906,-1,0.0158749810019067
53,H,1.04541817263761,7.37550937575813,0,0.0066487638012607
54,L,0.964873606088804,1.10803539827292,-2,0.000157387803850717
55,H,0.964458065285377,-6.14096373895698,-1,-0.00853154702179004
56,H,1.06351675125921,2.62482651539102,0,0.00172131201742833
57,H,2.45239065354453,6.01086861819772,-2,0.00376836711472731
58,H,0.769396300980808,3.99936030528979,0,0.00347187596039132
59,H,20.6113796616326,33.2003716974089,-4,0.0106488481353065
60,H,0.32047922620877,-5.88323219380267,-2,-0.00742273158482908
61,L,1.11894221474008,-2.73564117150146,-2,-0.00446901413502225
62,L,0.843947992640148,-0.909792138913227,-1,-0.00200653817225366
63,H,2.81037011694321,8.80978845912935,-2,0.00624056203913044
64,H,0.998184204564248,5.38569182097545,0,0.00469618812275638
65,L,7.82011421634439,7.11792122446047,0,-0.000740657585671281
66,L,0.859654626770235,0.318721486583742,-1,-0.000608343060980787
67,H,1.32056106359388,-3.05166447032062,0,-0.0050893190803199
68,L,0.203669681111316,7.5830094333402,-1,0.00781097280921315
69,L,11.3837119200701,15.1479789446051,-1,0.00368393432636265
70,L,1.03651345051319,9.05997551923678,0,0.00830053297838147
71,H,1.47279511253429,-1.41506949094668,-5,-0.00330542163226057
72,L,0.14485798787705,3.28337704986388,-4,0.00340673207485374
73,H,2.96243525329597,2.4022327581147,-3,-0.000611797606287323
74,L,-0.309742801619718,5.69559005484431,0,0.00641921250876909
75,L,12.8527147210779,15.1258783167774,-2,0.00221948344613751
76,H,1.31888303863796,0.173792453168756,-1,-0.00129273810198463
77,H,1.51347567973595,1.09933627407171,-1,-0.000461141209019592
78,L,-1.66815319183936,-3.37806644890929,0,-0.00202148072025854
79,L,2.31452706291976,4.28661064020637,-1,0.00211048852953136
80,L,0.45067940705292,0.0122401944994285,-2,-0.000496068338735153
81,L,1.66883480188301,-1.47414879032507,-1,-0.00360022484528792
82,H,0.639859859798035,4.77894595551955,0,0.00446957794821101
83,H,1.9650050979845,-2.75133280509935,-2,-0.00549033022578783
