Risk_State,Mean_b0,Std_b0,Mean_b2,Std_b2,Corr_b0_b2
Low,0.259408595366027,0.160215559979333,0.75799135986064,0.251279352637695,-0.568814419025848
High,0.252907999442321,0.13570389261716,0.763023305850948,0.178380110707667,-0.201737732874702
Pooled,0.256207358505485,0.148639700737793,0.760469355904924,0.218388141960828,-0.432120501002819
