N_Entrants,Risk_State,N_Auctions,UP_Mean_Winning_Score,UP_Mean_Final_Payment,FP_Mean_Winning_Score,FP_Mean_Final_Payment,Winning_Score_Change_Pct,Final_Payment_Change_Pct
3,L,118,0.126146887025402,0.125753376449911,0.127891189102109,0.127891189102109,1.38275475347694,1.70000417686491
3,H,82,0.126773067452745,0.126179299056808,0.129334463252948,0.129334463252948,2.02045738236736,2.5005402785758
5,L,109,0.118665901734832,0.117931725999011,0.119931491010293,0.119931491010293,1.06651469121154,1.69569723019058
5,H,91,0.119013421949086,0.118190313845868,0.121327636369049,0.121327636369049,1.94449868095841,2.65446669959147
7,L,108,0.116065696556933,0.115263413881394,0.117164764913138,0.117164764913138,0.946936423774102,1.6495702909689
7,H,92,0.117801276066675,0.116804681502173,0.119885352777306,0.119885352777306,1.76914612491285,2.6374553104503
9,L,107,0.115109779451382,0.114310979814957,0.116097479761856,0.116097479761856,0.858050736593522,1.56284195078342
9,H,93,0.115764242065816,0.114616950552644,0.117625085189565,0.117625085189565,1.60744206547881,2.62451114116821
