N_Entrants,Mechanism,N_Obs,Mean_Winning_Bid,Mean_Final_Payment,Std_Final_Payment
5,UP,200,0.79300841798597,0.796069814397934,0.085722712621261
5,FP,200,0.811610539885799,0.811610539885799,0.0820256517300749
