N_Entrants,Mechanism,N_Obs,Mean_Winning_Bid,Mean_Final_Payment,Std_Final_Payment
2,UP,17,0.839297051656028,0.812515904391511,0.117407231637714
2,FP,67,0.90083436769698,0.90083436769698,0.135838209207011
3,UP,55,0.84818854542856,0.854814105022785,0.121530131509257
3,FP,58,0.849064419539494,0.849064419539494,0.11514534351614
4,UP,90,0.820956671794941,0.818502171338178,0.109940294608456
4,FP,20,0.827295968538889,0.827295968538889,0.104036387631683
