Mechanism,Mean_Payment,Payment_CV,Mean_Entry_Rate,Mean_Abs_Overrun,Overrun_Risk,Mean_Winner_Score
UP,0.796069814397934,0.107682405576567,1,0.0381666057827313,0.0505483976699473,0.79300841798597
FP,0.811610539885799,0.101065286487798,1,0,0,0.811610539885799
