Mechanism,Mean_Payment,Payment_CV,Mean_Entry_Rate,Mean_Abs_Overrun,Overrun_Risk,Mean_Winner_Score
UP,NaN,NaN,0.737,NaN,NaN,NaN
FP,NaN,NaN,0.432,0,0,NaN
