Mechanism,Mean_Payment,Payment_CV,Mean_Entry_Rate,Mean_Abs_Overrun,Overrun_Risk,Mean_Winner_Score
UP,0.75134539314054,0.0628117109042007,0.985666666666667,0.00449815232953104,0.00617930380843885,0.754689929520078
FP,0.763205633283856,0.0295866564244128,0.906,0,0,0.763205633283856
