Risk_State,Mean_s,Std_s,Mean_b0,Std_b0,Mean_b2,Std_b2,Corr_b0_b2
Low,1.014235368271,0.198710614732564,0.254415946691848,0.157880296904897,0.75981942157915,0.243766702541448,-0.582842233147698
High,1.01819902376501,0.197012015376639,0.262192390923112,0.14055517574515,0.756006632841899,0.167015071729828,-0.188202776598879
Pooled,1.01603398308085,0.19789574033116,0.257944716481119,0.150274743131524,0.758089266599733,0.21235643822006,-0.446778668229112
