N_Entrants,Mechanism,N_Obs,Mean_Winning_Bid,Mean_Final_Payment,Std_Final_Payment
2,UP,42,0.896587678041816,0.886733395388981,0.165676218486555
2,FP,70,0.916687842940253,0.916687842940253,0.157672329885851
3,UP,68,0.844633600614055,0.831648851621353,0.124430437794945
3,FP,37,0.8551238160097,0.8551238160097,0.141887234547615
4,UP,63,0.821719386483724,0.818174820056139,0.115249994043741
4,FP,16,0.848572691531681,0.848572691531681,0.109636750310907
5,UP,18,0.805668665418462,0.806848854422115,0.0955219712377803
5,FP,1,0.767174329896904,0.767174329896904,0
