Mechanism,Mean_Bid,Std_Bid,Mean_Winning_Bid,Std_Winning_Bid,Mean_Final_Payment,Std_Final_Payment
UP,NaN,NaN,NaN,NaN,NaN,NaN
FP,1.03960810902062,0.231062445647992,NaN,NaN,NaN,NaN
