N_Entrants,Mechanism,N_Obs,Mean_Winning_Bid,Mean_Final_Payment,Std_Final_Payment
3,UP,1,0.0775651034185543,0.0689237969940824,0
3,FP,19,0.0901418029999199,0.0901418029999199,0.0164852288285422
4,UP,1,0.0771917086695039,0.0653892721327781,0
4,FP,34,0.0837258707339047,0.0837258707339047,0.00972079540383684
5,UP,5,0.0798230129424281,0.0796771799471798,0.00298540127854364
5,FP,34,0.0831537118518602,0.0831537118518602,0.00941908617137341
6,UP,24,0.0786403168103713,0.0777659457566233,0.00713052090346499
6,FP,47,0.0805655982701382,0.0805655982701382,0.00685666841791574
