Metric,All,Low_Risk,High_Risk
Mean_Winning_Bid_Change_Pct,NaN,NaN,NaN
Mean_Final_Payment_Change_Pct,NaN,NaN,NaN
Mean_Entry_Change,-1.525,-1.44954128440367,-1.61538461538462
Mean_Overrun_Change,NaN,NaN,NaN
