Mechanism,Mean_Payment,Payment_CV,Mean_Entry_Rate,Mean_Abs_Overrun,Overrun_Risk,Mean_Winner_Score
UP,0.757057232551831,0.0772019427755646,1,0.0350699351898828,0.0473312668570342,0.762197967101943
FP,0.772232641972113,0.0502296475985258,1,0,0,0.772232641972113
