Metric,All,Low_Risk,High_Risk
Mean_Winning_Bid_Change_Pct,NaN,NaN,NaN
Mean_Final_Payment_Change_Pct,NaN,NaN,NaN
Mean_Entry_Change,-0.645,-0.761061946902655,-0.494252873563218
Mean_Overrun_Change,NaN,NaN,NaN
