Metric,All,Low_Risk,High_Risk
Mean_Winning_Bid_Change_Pct,NaN,NaN,NaN
Mean_Final_Payment_Change_Pct,NaN,NaN,NaN
Mean_Entry_Change,-1.3,-1.16822429906542,-1.45161290322581
Mean_Overrun_Change,NaN,NaN,NaN
