N_Entrants,Mechanism,N_Obs,Mean_Winning_Bid,Mean_Final_Payment,Std_Final_Payment
3,UP,1,0.775651034185543,0.689237969940824,0
3,FP,19,0.901418029999199,0.901418029999199,0.164852288285422
4,UP,1,0.771917086695039,0.653892721327781,0
4,FP,34,0.837258707339047,0.837258707339047,0.0972079540383684
5,UP,5,0.798230129424281,0.796771799471798,0.0298540127854364
5,FP,34,0.831537118518602,0.831537118518602,0.0941908617137341
6,UP,24,0.786403168103713,0.777659457566233,0.0713052090346499
6,FP,47,0.805655982701382,0.805655982701382,0.0685666841791574
