auction_id,risk,sigma,n,up_win_score,up_pay_final,fp_win_score,fp_pay_final,scale_s
99,L,0.0837,5,0.755496287568365,0.750830160535818,0.766302424223144,0.766302424223144,1
100,H,0.0995,5,0.755346370114987,0.748970692919104,0.77089387703129,0.77089387703129,1
101,L,0.0837,5,1.02057381766882,1.02400047271612,1.03982395688841,1.03982395688841,1
102,H,0.0995,5,0.755525660724303,0.749929396363484,0.772031871087034,0.772031871087034,1
103,H,0.0995,5,0.771677051457181,0.771900773999892,0.794477039232608,0.794477039232608,1
104,L,0.0837,5,0.749764945049105,0.742273983937955,0.752014905106021,0.752014905106021,1
105,H,0.0995,5,0.755313877989319,0.748814540524954,0.770705232511136,0.770705232511136,1
106,L,0.0837,5,0.750309431000503,0.742620970740565,0.75290637786003,0.75290637786003,1
107,H,0.0995,5,0.824107962886822,0.820365644690818,0.842754692085318,0.842754692085318,1
108,L,0.0837,5,0.752205353270996,0.744222468265801,0.756403797655759,0.756403797655759,1
109,H,0.0995,5,0.752582222213589,0.741849336517188,0.761008372711722,0.761008372711722,1
110,L,0.0837,5,0.755750383210535,0.752255685459365,0.767982044788861,0.767982044788861,1
111,H,0.0995,5,0.74606344312037,0.735980870078886,0.748621127163188,0.748621127163188,1
112,L,0.0837,5,0.754744128858204,0.748297351761937,0.763017456739102,0.763017456739102,1
113,L,0.0837,5,0.781769182330328,0.773839454652882,0.786474496580356,0.786474496580356,1
114,L,0.0837,5,0.751602164452611,0.743633621795446,0.755211762367018,0.755211762367018,1
115,L,0.0837,5,0.820611510203122,0.812682968136497,0.825324323652962,0.825324323652962,1
116,H,0.0995,5,0.752645419961754,0.741949324696879,0.761171558639826,0.761171558639826,1
117,H,0.0995,5,0.833464756124685,0.823131055875743,0.842869165200294,0.842869165200294,1
118,L,0.0837,5,0.751100070783582,0.743204601907086,0.75428064880963,0.75428064880963,1
119,H,0.0995,5,0.817666449670998,0.810138535957675,0.83170626475484,0.83170626475484,1
120,L,0.0837,5,0.754759616693941,0.748337275067705,0.763072867880607,0.763072867880607,1
121,L,0.0837,5,0.92188980162582,0.931681095483053,0.946904050892696,0.946904050892696,1
122,L,0.0837,5,0.748916834216525,0.741807782129736,0.750700592465223,0.750700592465223,1
123,L,0.0837,5,0.801340186885746,0.793633918263449,0.803974916805742,0.803974916805742,1
124,L,0.0837,5,0.753913445116802,0.746539303957567,0.76042872519333,0.76042872519333,1
125,L,0.0837,5,0.750875352219487,0.743028101086786,0.753879429425235,0.753879429425235,1
126,H,0.0995,5,0.831472386083373,0.833288098447477,0.855831076585389,0.855831076585389,1
127,L,0.0837,5,0.919879627013789,0.925457847335251,0.941066658497927,0.941066658497927,1
128,H,0.0995,5,0.764260557488137,0.755558969930213,0.776601972170688,0.776601972170688,1
129,H,0.0995,5,0.754742022318506,0.746599436002193,0.767918272312722,0.767918272312722,1
130,H,0.0995,5,0.810614254408493,0.80596653910549,0.828236911685604,0.828236911685604,1
131,H,0.0995,5,0.752438309634286,0.741627185115626,0.760642308730304,0.760642308730304,1
132,H,0.0995,5,0.780052178501866,0.777397128974911,0.799885084546668,0.799885084546668,1
133,L,0.0837,5,0.755182368043855,0.749589224495168,0.764747568657984,0.764747568657984,1
134,L,0.0837,5,0.752128039105592,0.74414194439313,0.756245959617684,0.756245959617684,1
135,L,0.0837,5,0.75288239583472,0.745002821886706,0.757861193840387,0.757861193840387,1
136,H,0.0995,5,0.833069875204948,0.829314271175619,0.851701833110258,0.851701833110258,1
137,H,0.0995,5,0.829531012078737,0.826513602501249,0.848973342768983,0.848973342768983,1
138,L,0.0837,5,0.859472656158126,0.864646406639007,0.880323598522077,0.880323598522077,1
139,L,0.0837,5,0.887526760668086,0.882819807550491,0.898280731899886,0.898280731899886,1
140,L,0.0837,5,0.892056650138635,0.887470899635061,0.902964922542207,0.902964922542207,1
141,L,0.0837,5,0.752932657685995,0.745066801244857,0.757975435049813,0.757975435049813,1
142,H,0.0995,5,0.895969336455742,0.889323026941293,0.911173503841542,0.911173503841542,1
143,L,0.0837,5,0.752625126782074,0.744689248418946,0.757290351319981,0.757290351319981,1
144,H,0.0995,5,0.754417034412713,0.745626658621053,0.766620507023611,0.766620507023611,1
145,H,0.0995,5,0.753691996907165,0.743870918108008,0.764139729000981,0.764139729000981,1
146,H,0.0995,5,0.796021561478075,0.786762928440138,0.807467395600123,0.807467395600123,1
147,L,0.0837,5,0.75210138140242,0.744114545915047,0.756191903436429,0.756191903436429,1
148,H,0.0995,5,0.857850082216832,0.857777316909291,0.877316415057746,0.877316415057746,1
149,H,0.0995,5,0.749398286566818,0.738184862374415,0.754159962912364,0.754159962912364,1
150,L,0.0837,5,0.749387536757368,0.742056145006936,0.751419657883266,0.751419657883266,1
151,L,0.0837,5,0.751415037526046,0.743467807220791,0.754858820865799,0.754858820865799,1
152,L,0.0837,5,0.942592918257813,0.951055424460203,0.966275420374097,0.966275420374097,1
153,H,0.0995,5,0.751628824024089,0.740502887130658,0.758708525132274,0.758708525132274,1
154,L,0.0837,5,0.752113031609585,0.744126497054769,0.756215504783316,0.756215504783316,1
155,L,0.0837,5,0.753828864040058,0.746392168900466,0.760197009059486,0.760197009059486,1
156,H,0.0995,5,0.983228290993969,1.00082210067352,1.02137002342106,1.02137002342106,1
157,L,0.0837,5,0.818894754624631,0.812468105972127,0.827200984659055,0.827200984659055,1
158,H,0.0995,5,0.754965711466139,0.74736972657126,0.768912252031122,0.768912252031122,1
159,H,0.0995,5,0.754370938386801,0.745499919771434,0.766447672147793,0.766447672147793,1
160,L,0.0837,5,0.75347008001632,0.745814898750169,0.75926095488545,0.75926095488545,1
161,L,0.0837,5,0.751523567528881,0.743563079372843,0.755062623020685,0.755062623020685,1
162,L,0.0837,5,0.755777191489694,0.752449436840431,0.768202604449086,0.768202604449086,1
163,H,0.0995,5,0.749917792367275,0.738645751564195,0.755140357903941,0.755140357903941,1
164,L,0.0837,5,0.875982808836584,0.868009737117692,0.879639077678795,0.879639077678795,1
165,H,0.0995,5,0.994466341922005,0.987600968638698,1.00938811035509,1.00938811035509,1
166,H,0.0995,5,0.891014080313646,0.886827547165805,0.909162926722437,0.909162926722437,1
167,H,0.0995,5,0.755396018043651,0.749218594201512,0.771191426242893,0.771191426242893,1
