risk,GroupCount,mean_score_h,median_score_h,std_score_h,mean_b0_h,median_b0_h,std_b0_h,mean_b2_h,median_b2_h,std_b2_h
H,731,1.0057096357658,0.977618979106522,0.207939629501682,0.246708054280382,0.237025918507318,0.138594073744713,0.759001581485417,0.755884132843299,0.177130220920936
L,980,1.01524557444429,1.00637533677233,0.200382608669898,0.252619701111598,0.246228434464902,0.156504523343077,0.762625873332692,0.755979060445358,0.236823306157269
