auction_id,mechanism,risk,sigma,N_potential,delta,kbar,n,win_score,win_b0,win_b2,win_e0,win_e2,epsilon,pay_final,overrun,skipped,scale_s
1,UP,L,0.0837,15,0.984061708305826,0.0678863449678831,15,0.112867939551022,0.0529015121079386,0.0599664274430838,2.22044604925031e-16,0.980085162809923,-0.00265731047395329,0.111514368495893,-0.00135357105512965,0,0.15
1,FP,L,0.0837,15,0.909384242453184,0.0491177189268801,15,0.112833911421218,0.112833911421218,0,2.22044604925031e-16,0.973875795503879,0.0379006689034774,0.112833911421218,0,0,0.15
2,UP,L,0.0837,15,0.984061708305826,0.0678863449678831,15,0.1125010158745,0.0685570105414567,0.0439440053330432,2.22044604925031e-16,0.974113562700792,0.0991510065730283,0.115720554497392,0.00321953862289186,0,0.15
2,FP,L,0.0837,15,0.909384242453184,0.0491177189268801,14,0.113696713207283,0.113696713207283,0,2.22044604925031e-16,0.981484276217635,0.134725764629705,0.113696713207283,0,0,0.15
3,UP,L,0.0837,15,0.984061708305826,0.0678863449678831,15,0.112612296161226,0.0642275413421042,0.0483847548191221,2.22044604925031e-16,0.975768642059803,0.117537867400801,0.117126908744506,0.00451461258327943,0,0.15
3,FP,L,0.0837,15,0.909384242453184,0.0491177189268801,13,0.113667410459377,0.113667410459377,0,2.22044604925031e-16,0.981225873977064,-0.024279230324554,0.113667410459377,0,0,0.15
4,UP,H,0.0995,15,0.983564843996916,0.0676008545325822,14,0.112814218444659,0.0465774926444712,0.0662367258001876,2.22044604925031e-16,0.975159419472896,0.0883668904212284,0.117021993214214,0.00420777476955486,0,0.15
4,FP,H,0.0995,15,0.909384242453184,0.0491177190212174,11,0.113709717079793,0.113709717079793,0,2.22044604925031e-16,0.972867679957942,0.133736258372958,0.113709717079793,0,0,0.15
5,UP,L,0.0837,15,0.984061708305826,0.0678863449678831,15,0.111919950148809,0.0876392765937828,0.0242806735550267,2.22044604925031e-16,0.966784985698822,0.0339420019397249,0.11193760189834,1.76517495301121e-05,0,0.15
5,FP,L,0.0837,15,0.909384242453184,0.0491177189268801,15,0.113361310850588,0.113361310850588,0,2.22044604925031e-16,0.978526584144495,0.00562540216415749,0.113361310850588,0,0,0.15
6,UP,H,0.0995,15,0.983564843996916,0.0676008545325822,15,0.112774751395133,0.0481009427723857,0.064673808622747,2.22044604925031e-16,0.974336241467083,-0.0415596159788025,0.108427159736987,-0.0043475916581462,0,0.15
6,FP,H,0.0995,15,0.909384242453184,0.0491177190212174,13,0.115825503116083,0.115825503116083,0,2.22044604925031e-16,0.991525405540759,0.00262751019418498,0.115825503116083,0,0,0.15
7,UP,L,0.0837,15,0.984061708305826,0.0678863449678831,15,0.113051321727049,0.0429073028252826,0.0701440189017667,2.22044604925031e-16,0.983878378707492,0.0204058428714839,0.113351834246464,0.000300512519415014,0,0.15
7,FP,L,0.0837,15,0.909384242453184,0.0491177189268801,13,0.109796183608662,0.109796183608662,0,2.22044604925031e-16,0.947088070980779,0.0115655533175928,0.109796183608662,0,0,0.15
8,UP,H,0.0995,15,0.983564843996916,0.0676008545325822,15,0.113399300469383,0.00162911980010698,0.111770180669276,2.22044604925031e-16,0.999141585078297,-0.0722439154196499,0.105228639799785,-0.0081706606695981,0,0.15
8,FP,H,0.0995,15,0.909384242453184,0.0491177190212174,11,0.114557712915848,0.114557712915848,0,2.22044604925031e-16,0.980345597327952,0.0561351578119994,0.114557712915848,0,0,0.15
9,UP,H,0.0995,15,0.983564843996916,0.0676008545325822,15,0.11279558104511,0.0473032609029605,0.0654923201421493,2.22044604925031e-16,0.974767346000325,-0.0406203398208422,0.108482715691498,-0.00431286535361229,0,0.15
9,FP,H,0.0995,15,0.909384242453184,0.0491177190212174,12,0.11479900545935,0.11479900545935,0,2.22044604925031e-16,0.982473398530629,0.0592974885895731,0.11479900545935,0,0,0.15
10,UP,L,0.0837,15,0.984061708305826,0.0678863449678831,14,0.113304143135029,0.0225842624142349,0.0907198807207938,2.22044604925031e-16,0.991547058126877,-0.0923739572388474,0.104157138874143,-0.00914700426088547,0,0.15
10,FP,L,0.0837,15,0.909384242453184,0.0491177189268801,15,0.114025481154954,0.114025481154954,0,2.22044604925031e-16,0.984383465126725,0.0250494568567673,0.114025481154954,0,0,0.15
11,UP,L,0.0837,15,0.984061708305826,0.0678863449678831,15,0.112444565766073,0.0706480445939595,0.0417965211721131,2.22044604925031e-16,0.973313189538626,0.0155481509559428,0.111979008548225,-0.000465557217847717,0,0.15
