risk,GroupCount,mean_score,median_score,std_score,mean_b0,median_b0,std_b0,mean_b2,median_b2,std_b2
H,731,0.15085644536487,0.146642846865978,0.0311909444252522,0.0370062081420573,0.0355538877760977,0.0207891110617069,0.113850237222813,0.113382619926495,0.0265695331381404
L,980,0.152286836166644,0.15095630051585,0.0300573913004848,0.0378929551667398,0.0369342651697352,0.0234756785014616,0.114393880999904,0.113396859066804,0.0355234959235904
