risk,GroupCount,mean_win_score_h,median_win_score_h,std_win_score_h,mean_pay_final_h,median_pay_final_h,std_pay_final_h,mean_overrun_h,median_overrun_h,std_overrun_h
H,86,0.769106900387925,0.753874367906397,0.0430993288543645,0.765255718916046,0.74905561548455,0.0774740147076907,-0.00385118147187955,-0.0180697321130575,0.0564930391603816
L,114,0.769745687447928,0.75419395460302,0.0409848983655299,0.763296545381526,0.75174319737928,0.0574821854345548,-0.00644914206640176,-0.004314162049327,0.0372022566637615
