risk,GroupCount,mean_n,median_n,std_n,mean_overrun,median_overrun,std_overrun,mean_win_score,median_win_score,std_win_score,mean_pay_final,median_pay_final,std_pay_final
H,86,8.5,9,0.808047756305646,-0.000577677220781932,-0.00271045981695862,0.00847395587405723,0.115366035058189,0.11308115518596,0.00646489932815467,0.114788357837407,0.112358342322682,0.0116211022061536
L,114,8.59649122807017,9,0.620009966314617,-0.000967371309960264,-0.00064712430739905,0.00558033849956423,0.115461853117189,0.113129093190453,0.00614773475482949,0.114494481807229,0.112761479606892,0.00862232781518323
