auction_id,risk,sigma,n,up_win_score,up_pay_final,fp_win_score,fp_pay_final,scale_s,n_level
32,H,0.0995,3,0.112453445924119,0.110765757378971,0.113205725349564,0.113205725349564,0.15,3
33,H,0.0995,3,0.132372695303794,0.131609080866289,0.134938794209096,0.134938794209096,0.15,3
34,L,0.0837,3,0.125243273148454,0.124120121510807,0.125580027681433,0.125580027681433,0.15,3
35,L,0.0837,3,0.120708862283678,0.119946832102356,0.122248966977448,0.122248966977448,0.15,3
36,L,0.0837,3,0.113196023269881,0.1122056790431,0.114398098643301,0.114398098643301,0.15,3
37,H,0.0995,3,0.112630790372153,0.110941241001565,0.113558553420192,0.113558553420192,0.15,3
38,L,0.0837,3,0.128687181809905,0.128229748973872,0.13059878010826,0.13059878010826,0.15,3
39,L,0.0837,3,0.113314923893264,0.112582023334354,0.114893343557281,0.114893343557281,0.15,3
40,H,0.0995,3,0.126160279664705,0.125588057279496,0.128945185290577,0.128945185290577,0.15,3
41,H,0.0995,3,0.161148180011689,0.161933234074946,0.165282488102888,0.165282488102888,0.15,3
42,L,0.0837,3,0.113335885221693,0.112680164715953,0.115012446267148,0.115012446267148,0.15,3
43,L,0.0837,3,0.12656471836001,0.126306651754009,0.128695233234997,0.128695233234997,0.15,3
44,L,0.0837,3,0.113324607351488,0.112625285189834,0.114946288870915,0.114946288870915,0.15,3
45,H,0.0995,3,0.113191220681092,0.111927070941894,0.115104813669461,0.115104813669461,0.15,3
46,L,0.0837,3,0.12945085238272,0.130784721495708,0.133158166273898,0.133158166273898,0.15,3
47,L,0.0837,3,0.12393316024266,0.122858897657286,0.124979583306396,0.124979583306396,0.15,3
48,H,0.0995,3,0.131200795233122,0.130462834329162,0.133796914024226,0.133796914024226,0.15,3
49,L,0.0837,3,0.142656186863359,0.144013485424006,0.146282888899209,0.146282888899209,0.15,3
50,H,0.0995,3,0.141801756458937,0.140931346718819,0.144240194756009,0.144240194756009,0.15,3
51,L,0.0837,3,0.11337644375408,0.112948371636146,0.115321211719305,0.115321211719305,0.15,3
52,H,0.0995,3,0.14191632710353,0.14203530662757,0.145420818818101,0.145420818818101,0.15,3
53,H,0.0995,3,0.1124005999502,0.110720003196024,0.113107125192698,0.113107125192698,0.15,3
54,H,0.0995,3,0.113268286862244,0.112195974473465,0.115450783382183,0.115450783382183,0.15,3
55,L,0.0837,3,0.113262148262344,0.112388334603703,0.114646879196039,0.114646879196039,0.15,3
56,L,0.0837,3,0.141658748301205,0.141360946601008,0.143746724194652,0.143746724194652,0.15,3
57,H,0.0995,3,0.112771488042823,0.111110656854913,0.11386866694421,0.11386866694421,0.15,3
58,L,0.0837,3,0.113108202298522,0.112019358803872,0.114123957433067,0.114123957433067,0.15,3
59,L,0.0837,3,0.117696269083279,0.116505831567879,0.118395678981133,0.118395678981133,0.15,3
60,H,0.0995,3,0.120351268254682,0.11888136879476,0.121924566888682,0.121924566888682,0.15,3
61,H,0.0995,3,0.13881029875582,0.138888333241712,0.142274415826928,0.142274415826928,0.15,3
62,L,0.0837,3,0.113248831531899,0.112347408399901,0.114592636261864,0.114592636261864,0.15,3
63,H,0.0995,3,0.11333276499789,0.112512891632165,0.11583217867653,0.11583217867653,0.15,3
64,H,0.0995,3,0.112508181090049,0.110816094870266,0.113310798006789,0.113310798006789,0.15,3
65,L,0.0837,3,0.123978417643571,0.122849771070179,0.124900973330637,0.124900973330637,0.15,3
66,L,0.0837,3,0.115957981219492,0.114788561514215,0.116385775243447,0.116385775243447,0.15,3
67,L,0.0837,3,0.155052288538446,0.158805380355243,0.160979581518199,0.160979581518199,0.15,3
68,L,0.0837,3,0.144927666652152,0.143738518524709,0.145427157072263,0.145427157072263,0.15,3
69,L,0.0837,3,0.113038868442215,0.111900578552416,0.113935843325542,0.113935843325542,0.15,3
70,L,0.0837,3,0.113342169974592,0.112713293483037,0.115051859787078,0.115051859787078,0.15,3
71,H,0.0995,3,0.133827751416797,0.132585762821484,0.135774158870788,0.135774158870788,0.15,3
72,H,0.0995,3,0.128813223997463,0.127461951237708,0.130591818677657,0.130591818677657,0.15,3
73,H,0.0995,3,0.142934040917989,0.144260945205628,0.147552153696932,0.147552153696932,0.15,3
74,L,0.0837,3,0.113095755016194,0.111996507779971,0.114088659126883,0.114088659126883,0.15,3
75,L,0.0837,3,0.11564637385118,0.114560660841378,0.116668838828094,0.116668838828094,0.15,3
76,H,0.0995,3,0.113393603193142,0.11311203018203,0.116492155421646,0.116492155421646,0.15,3
77,L,0.0837,3,0.172462922077629,0.172504066794569,0.174900288524122,0.174900288524122,0.15,3
78,L,0.0837,3,0.151078396851357,0.152049263893311,0.154374160453673,0.154374160453673,0.15,3
79,H,0.0995,3,0.113166759535315,0.111855743375195,0.115009024956984,0.115009024956984,0.15,3
80,L,0.0837,3,0.126878711677467,0.12708815696182,0.129480337885923,0.129480337885923,0.15,3
81,H,0.0995,3,0.1196814294994,0.120939164779296,0.124364517568518,0.124364517568518,0.15,3
82,H,0.0995,3,0.112914137344899,0.111320411744981,0.114221071136354,0.114221071136354,0.15,3
83,L,0.0837,3,0.11336409060605,0.112849213073769,0.115209700009052,0.115209700009052,0.15,3
84,H,0.0995,3,0.136705979143987,0.135470545025863,0.138661989151697,0.138661989151697,0.15,3
85,H,0.0995,3,0.126102508611691,0.125410053640784,0.128751320118343,0.128751320118343,0.15,3
86,L,0.0837,3,0.112863448758959,0.111668698095865,0.113528543186243,0.113528543186243,0.15,3
87,H,0.0995,3,0.115433976853143,0.114723952637442,0.118062526726761,0.118062526726761,0.15,3
88,L,0.0837,3,0.163806982156846,0.165644489948969,0.167831124660753,0.167831124660753,0.15,3
89,L,0.0837,3,0.129182805367807,0.12971220975003,0.132084458688355,0.132084458688355,0.15,3
90,L,0.0837,3,0.118370285059927,0.118083483005359,0.12047008608692,0.12047008608692,0.15,3
91,L,0.0837,3,0.138400356647312,0.139043236136423,0.141405247271119,0.141405247271119,0.15,3
92,H,0.0995,3,0.129067077053533,0.129776297331687,0.133131883501547,0.133131883501547,0.15,3
93,H,0.0995,3,0.113291665470048,0.112296926631549,0.115575114148071,0.115575114148071,0.15,3
94,H,0.0995,3,0.113213051087409,0.111995588973353,0.115195162107236,0.115195162107236,0.15,3
95,L,0.0837,3,0.112011791795019,0.111140361075707,0.112148549203775,0.112148549203775,0.15,3
96,L,0.0837,3,0.118002111371474,0.117852416843321,0.120246316907932,0.120246316907932,0.15,3
97,H,0.0995,3,0.153658682214995,0.152820963305809,0.156136685094481,0.156136685094481,0.15,3
98,H,0.0995,3,0.155748825596797,0.155304766640165,0.158674438511762,0.158674438511762,0.15,3
