auction_id,risk,sigma,N_potential,delta,kbar,n,win_score,win_b0,win_b2,win_e0,win_e2,epsilon,pay_final,overrun,skipped,scale_s
13,H,0.0995,10,0.560677050330648,0.0216423268408614,6,0.0760732880844164,0.0760732880844164,0,2.22044604925031e-16,0.976396914828169,0.0431721193543874,0.0760732880844164,0,0,0.1
14,H,0.0995,10,0.560677050330648,0.0216423268408614,7,0.0775317583953263,0.0775317583953263,0,2.22044604925031e-16,0.995688849828057,0.114954722451311,0.0775317583953263,0,0,0.1
15,L,0.0837,10,0.560677050330648,0.0216423263814932,6,0.0759756410381432,0.0759756410381432,0,2.22044604925031e-16,0.983836553442601,0.132093534295346,0.0759756410381432,0,0,0.1
16,H,0.0995,10,0.560677050330648,0.0216423268408614,7,0.0776793514012049,0.0776793514012049,0,2.22044604925031e-16,0.99764113826818,-0.00919780549378202,0.0776793514012049,0,0,0.1
17,H,0.0995,10,0.560677050330648,0.0216423268408614,6,0.0748275435275212,0.0748275435275212,0,2.22044604925031e-16,0.95991881219492,-0.0305413716294805,0.0748275435275212,0,0,0.1
18,L,0.0837,10,0.560677050330648,0.0216423263814932,6,0.0765986707202502,0.0765986707202502,0,2.22044604925031e-16,0.992077686810332,-0.0276589446310819,0.0765986707202502,0,0,0.1
19,H,0.0995,10,0.560677050330648,0.0216423268408614,6,0.0781720289469585,0.0781720289469585,0,2.22044604925031e-16,1.00415803739998,-0.0227673998361015,0.0781720289469585,0,0,0.1
20,H,0.0995,10,0.560677050330648,0.0216423268408614,5,0.0766067763748873,0.0766067763748873,0,2.22044604925031e-16,0.983453638189437,0.0369152914711298,0.0766067763748873,0,0,0.1
21,H,0.0995,10,0.560677050330648,0.0216423268408614,5,0.0775301659836565,0.0775301659836565,0,2.22044604925031e-16,0.99566778647759,0.0598589732588525,0.0775301659836565,0,0,0.1
22,L,0.0837,10,0.560677050330648,0.0216423263814932,8,0.0816034686555041,0.0816034686555041,0,0.18972041217327,0.998802875084346,0.0551780952902021,0.0816034686555041,0,0,0.1
23,L,0.0837,10,0.560677050330648,0.0216423263814932,2,0.0926474554474376,0.0926474554474376,0,0.682317379686105,0.990462115568529,-0.0615143040449121,0.0926474554474376,0,0,0.1
24,L,0.0837,10,0.560677050330648,0.0216423263814932,7,0.0760255137727955,0.0760255137727955,0,2.22044604925031e-16,0.984496246008337,0.0539073522352758,0.0760255137727955,0,0,0.1
25,H,0.0995,10,0.560677050330648,0.0216423268408614,6,0.0771471933077598,0.0771471933077598,0,2.22044604925031e-16,0.990602010399806,-0.09072389840144,0.0771471933077598,0,0,0.1
